experiment,tier,provenance,case,case_key,project,experiment_case_id,run_id,condition,model,session_id,success,public,held_out,regression,evaluation_status,wall_time_seconds,steps,tool_calls,prompt_tokens,completion_tokens,cached_tokens,source_files_changed,workspace_churn_files,generated_or_environment_files,lines_added,lines_deleted,patch_sha256,prompt_sha256,visible_heldout_disagreement,failure_classification
E002,moderate,historical-public,black-16,E002:black-16,black,E001-C01,E002-C01-M,M,swe-2-medium,electric-afternoon,True,pass,pass,pass,OK,366.269,47,41,903193,10310,873193,1,13,12,22,1,821655e93e617df5b527fca8218b264093bdcb6e1c56f70dc8017d8a6d0bc270,,False,successful repair
E002,moderate,historical-public,black-16,E002:black-16,black,E001-C01,E002-C01-X,X,swe-2-max,tundra-dancer,True,pass,pass,pass,OK,399.819,36,42,591544,10720,566965,1,1512,1511,1517,1,51fec1f580065c1c76e23006eb2d6803418c2f0f20500fbb571c13b3d6cb97fa,,False,successful repair
E002,moderate,historical-public,fastapi-3,E002:fastapi-3,fastapi,E001-C02,E002-C02-M,M,swe-2-medium,pumped-salad,True,pass,pass,pass,OK,299.332,35,30,599955,9374,568967,1,2,1,26,7,a6980526a0cfd2e87d467d9ca3da2c571e151be8763ed115e001a0bb67cd5a25,,False,successful repair
E002,moderate,historical-public,fastapi-3,E002:fastapi-3,fastapi,E001-C02,E002-C02-X,X,swe-2-max,ionian-wallaby,True,pass,pass,pass,OK,1137.75,69,71,3504981,60615,3400046,1,1,0,25,7,3747195a3cd9e36b1d4fdbb65b444d8a6901a5e02dd6e40f5bff0724574aaba9,,False,successful repair
E002,moderate,historical-public,scrapy-3,E002:scrapy-3,scrapy,E001-C03,E002-C03-M,M,swe-2-medium,airy-coffee,True,pass,pass,pass,OK,817.861,62,59,1960369,26800,1896201,1,29,28,34,2,5f2065c0e38b075a1878c45b44283503b96da74536a95ebb5526d8c0ea819122,,False,successful repair
E002,moderate,historical-public,scrapy-3,E002:scrapy-3,scrapy,E001-C03,E002-C03-X,X,swe-2-max,relieved-wish,True,pass,pass,pass,OK,1380.464,91,135,6046229,73180,5910875,1,1663,1662,1662,1,0e92366995587c2a7a2b2f430ceeeca355c63b9b68dc399db4ccce09e8323184,,False,successful repair
E002,moderate,historical-public,tornado-13,E002:tornado-13,tornado,E001-C05,E002-C05-M,M,swe-2-medium,shadowed-wedge,True,pass,pass,pass,OK,175.535,33,25,436280,3486,422145,1,31,30,31,1,6972874bf7cf7317f900c823ace3fc839ee42c16b653fdfe23bef698eb5579b5,,False,successful repair
E002,moderate,historical-public,tornado-13,E002:tornado-13,tornado,E001-C05,E002-C05-X,X,swe-2-max,glitter-currant,True,pass,pass,pass,OK,326.457,36,30,783919,9317,756333,1,36,35,36,1,918158b21c59961b6dd27f1cc4bcd257de38557ef8ec6adf45387c49fbb1eb03,,False,successful repair
E002,moderate,historical-public,tqdm-5,E002:tqdm-5,tqdm,E001-C04,E002-C04-M,M,swe-2-medium,bronze-experience,True,pass,pass,pass,OK,157.312,22,14,220679,2343,208403,1,10,9,15,0,917b7bcc147712d6243df7ee7475f59cf882b991ab5d23e2f50dbf50a4cd1d0e,,False,successful repair
E002,moderate,historical-public,tqdm-5,E002:tqdm-5,tqdm,E001-C04,E002-C04-X,X,swe-2-max,amethyst-border,False,pass,fail,pass,OK,405.29,42,44,814278,11151,774656,1,11,10,12,0,134e4f61496f1d027cbe42059944a6b1733d841e345a3e93e39968d8d747be21,,True,partial fix / correct target but incomplete implementation
