experiment,tier,provenance,case_id,run_id,condition,model,TASK_SUCCESS,public,held_out,regression,wall_seconds,steps,tools,prompt_tokens,completion_tokens,cached_tokens,files_changed,source_files_changed,patch_additions,patch_deletions,workspace_churn_files,patch_sha256,paired_classification,interventions,retries,evaluation_status,termination
E005,hard,newly-constructed-withheld,E005-H01,E005-H01-X,Max,swe-2-max,True,pass,pass,pass,171.70258341706358,16,18,21009,305,7808,2,2,5,8,2,0857469b7b76e45cb3668c0f3811cb672b865eee5482ea1a4f160180cf2884cc,both success,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H01,E005-H01-M,Medium,swe-2-medium,True,pass,pass,pass,81.59428570896853,13,12,16161,238,16000,2,2,5,8,2,0857469b7b76e45cb3668c0f3811cb672b865eee5482ea1a4f160180cf2884cc,both success,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H02,E005-H02-X,Max,swe-2-max,False,pass,fail,pass,408.73255062499084,17,16,31547,314,31360,1,1,7,1,1,5c551c21d5e2b579effb7f2154a507e6c19013301487e9ba3a6d08df83c2d41e,both fail,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H02,E005-H02-M,Medium,swe-2-medium,False,pass,fail,pass,74.66823312500492,13,10,15786,159,15616,1,1,3,0,1,38c929d3c0c4588c197591d51049a9c1c9a57f17a0c926db2b3b759344ba99fd,both fail,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H03,E005-H03-X,Max,swe-2-max,False,pass,pass,fail,226.06557695800439,18,16,25074,304,24832,2,2,10,4,2,c0d7c29c8140076451efa5a739b3c27cef439894d2e4a04aa5626007d3210227,Medium-only,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H03,E005-H03-M,Medium,swe-2-medium,True,pass,pass,pass,90.42784245801158,14,10,15506,229,11968,2,2,2,4,2,257d4e97425953e49123bf6e2012b07e20c6ca033220729b148d598a4e6b1f9b,Medium-only,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H04,E005-H04-X,Max,swe-2-max,True,pass,pass,pass,113.59624950005673,16,16,18259,293,17920,1,1,1,1,1,50e657161f7392b006ee0feeec2513c09b282f97d0cf00240487fd2dc7fe1f57,both success,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H04,E005-H04-M,Medium,swe-2-medium,True,pass,pass,pass,81.61153829097748,14,12,16113,224,15936,1,1,1,1,1,50e657161f7392b006ee0feeec2513c09b282f97d0cf00240487fd2dc7fe1f57,both success,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H05,E005-H05-X,Max,swe-2-max,False,pass,fail,pass,235.5587586669717,17,19,22189,411,20967,3,3,13,5,3,cb028b53a080c4008334667523c039807237a69e38158d15537548973538ce43,both fail,0,0,OK,completed
E005,hard,newly-constructed-withheld,E005-H05,E005-H05-M,Medium,swe-2-medium,False,pass,fail,pass,81.55256687500514,14,7,14770,130,14592,2,2,3,1,2,276f452ced303b5b8329c08fcf625a77cc1d568112855785ed7a4d230bab9c7c,both fail,0,0,OK,completed
E005,hard,historical-public,E005-K01,E005-K01-X,Max,swe-2-max,True,pass,pass,pass,953.0180655829608,81,101,134630,503,134400,4,4,144,15,4,7d8b18e8c67ca572b8931b43527ac65ba83bb794970603d37be256be85ffbbf4,both success,0,0,OK,completed
E005,hard,historical-public,E005-K01,E005-K01-M,Medium,swe-2-medium,True,pass,pass,pass,771.6972634169506,81,132,129859,583,127499,4,4,145,14,4,ba0351317e0531e4ef8abc11829b19b63640062e7f94f9d89eec7c135d9956ff,both success,0,0,OK,completed
E005,hard,historical-public,E005-K02,E005-K02-X,Max,swe-2-max,False,pass,fail,pass,571.7501981660025,56,54,68993,639,68252,1,1,5,0,1,d4e6591c4abe8c2fae09ea6ee9322849d4704fd6d16b04a2460348ff1160ec89,Medium-only,0,0,OK,completed
E005,hard,historical-public,E005-K02,E005-K02-M,Medium,swe-2-medium,True,pass,pass,pass,238.30983433302026,54,49,37616,400,37376,2,2,5,1,2,8de8d046231c631d1229852bf52f0dee64f78fbf5f07bbea53e3fb647826f5e0,Medium-only,0,0,OK,completed
E005,hard,historical-public,E005-K03,E005-K03-X,Max,swe-2-max,True,pass,pass,pass,569.5430964579573,45,46,57123,801,56896,2,2,16,2,2,3c66ec89962cc37f578bddbdff45740b725123e81d09727030d03f60fc7362d6,both success,0,0,OK,completed
E005,hard,historical-public,E005-K03,E005-K03-M,Medium,swe-2-medium,True,pass,pass,pass,148.89469066704623,23,17,26575,272,26368,1,1,8,0,1,1bd305f79188a1f696ad88002dd2547e02c9c03be7db0bfa2c66f44335bdd12c,both success,0,0,OK,completed
E005,hard,historical-public,E005-K04,E005-K04-X,Max,swe-2-max,True,pass,pass,pass,723.5595000410685,69,67,80422,980,79946,2,2,13,0,2,763abeeb4e68471830fcb7984d4ce8c936deb357911616aa7fbfcd5f1f969f28,Max-only,0,0,OK,completed
